analysis,feature,n,spearman_vs_stage,p_spearman,won_vs_lost_effect,p_mwu,won_median,lost_median,q_spearman,q_mwu
within-rep-z,VoicedSegmentsPerSec,60,0.0326193301943464,0.8045840305972654,-0.004901960784313708,0.989443175779737,-0.1727917178626564,-0.031744931872209184,0.9373308498221244,0.989443175779737
within-rep-z,mfcc3V_sma3nz_stddevNorm,60,0.030697119665036705,0.8158920348720167,-0.02941176470588236,0.8842802463955904,0.03831472140835611,0.15627782205447466,0.9373308498221244,0.9880988962733768
within-rep-z,F1amplitudeLogRelF0_sma3nz_stddevNorm,60,0.029240899567074815,0.8244837651988988,0.004901960784313708,0.989443175779737,-0.14155016322356961,-0.28228567353685124,0.9373308498221244,0.989443175779737
within-rep-z,mfcc2V_sma3nz_stddevNorm,60,0.027930301478909104,0.8322339028098515,0.06862745098039214,0.7209062417708143,0.0813848603941531,0.0971868004435116,0.9373308498221244,0.9741976240146138
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,60,0.02749343544952054,0.8348208541647921,0.05882352941176472,0.7608823792547115,-0.2036916794518341,-0.24524042422966347,0.9373308498221244,0.9880988962733768
within-rep-z,logRelF0-H1-A3_sma3nz_stddevNorm,60,0.027260440233846637,0.8362012754942175,0.12254901960784315,0.5167658751032107,-0.2424203742101973,-0.36104434610590325,0.9373308498221244,0.8612764585053512
within-rep-z,loudness_sma3_stddevNorm,60,-0.026590578988784166,0.8401727103011736,-0.12745098039215685,0.4998018503261805,-0.07983568089607757,-0.267372911843013,0.9373308498221244,0.8612764585053512
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,60,0.02493048807710761,0.850031851584364,0.0490196078431373,0.8015074505848662,-0.018014219599178205,0.06667552834882276,0.9373308498221244,0.9880988962733768
within-rep-z,F1amplitudeLogRelF0_sma3nz_amean,60,-0.023998507214411997,0.8555769352975918,-0.014705882352941124,0.9472528184220939,0.1547864803336097,0.49488689094144095,0.9373308498221244,0.9880988962733768
within-rep-z,questions,60,0.023083208217687712,0.8610295350442261,0.014705882352941124,0.9471884688173465,-0.22966988337622055,-0.16788386245853554,0.9373308498221244,0.9880988962733768
within-rep-z,spectralFlux_sma3_stddevNorm,60,0.02286265553800172,0.8623443818363544,-0.03431372549019607,0.8634310507272129,0.007268084129002367,-0.11825688954866777,0.9373308498221244,0.9880988962733768
within-rep-z,slopeV500-1500_sma3nz_stddevNorm,60,0.020882196204773544,0.8741673183418333,0.0490196078431373,0.8015074505848662,0.37195036965121475,0.025873051682578304,0.9399648584320788,0.9880988962733768
within-rep-z,F3frequency_sma3nz_amean,60,-0.012552617244431519,0.9241635256082688,-0.009803921568627416,0.9683369183479092,-0.13006741809848113,0.0823713019537855,0.9696975314527188,0.9880988962733768
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,60,-0.010717779920999532,0.935222886528192,0.03431372549019618,0.8634310507272129,-0.2711384182944664,-0.3772407371689916,0.9696975314527188,0.9880988962733768
within-rep-z,mfcc2_sma3_amean,60,-0.008941191401486024,0.9459427905337513,-0.02941176470588236,0.8842802463955904,0.10618032379226872,0.2010289130202635,0.9696975314527188,0.9880988962733768
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,60,-0.00800921053879041,0.951570281672011,0.13725490196078427,0.46678061452897934,-0.1557085972825647,-0.5147755875051959,0.9696975314527188,0.8476106114088565
within-rep-z,hammarbergIndexV_sma3nz_stddevNorm,60,0.007572344509401844,0.954208994760993,0.15686274509803932,0.40451860425691677,-0.1388131575593759,-0.5099834739637231,0.9696975314527188,0.8476106114088565
within-rep-z,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,60,-0.0053006411565812905,0.967937548957642,0.08333333333333326,0.6623751309779664,0.20025757627017293,-0.13317174901021941,0.9696975314527188,0.9329227196872766
within-rep-z,talk_share_pct,60,-0.005009536331374283,0.9696975314527188,0.009803921568627416,0.9683369183479092,-0.1760706864103519,-0.3304929244641462,0.9696975314527188,0.9880988962733768
